Depth sed [m],Sample label,Cibicidoides spp. δ18O [‰ PDB],Cibicidoides spp. δ13C [‰ PDB],CaCO3 [%],Lab
0.02,"177-1088B-1-1,2-4",3.81,0.55,90.64,University of Florida
0.07,"177-1088B-1-1,7-9",2.95,0.44,86.35,University of Florida
0.12,"177-1088B-1-1,12-14",3.54,0.53,89.8,University of Florida
0.17,"177-1088B-1-1,17-19",4.05,0.09,87.53,University of Florida
0.22,"177-1088B-1-1,22-24",3.65,0.52,89.34,University of Florida
0.27,"177-1088B-1-1,27-29",4.58,0.28,86.39,University of Florida
0.32,"177-1088B-1-1,32-34",4.46,0.28,77.75,University of Florida
0.37,"177-1088B-1-1,37-39",4.15,0.44,83.55,University of Florida
0.42,"177-1088B-1-1,42-44",3.9,0.38,81.51,University of Florida
0.47,"177-1088B-1-1,47-49",4.06,0.44,88.77,University of Florida
0.52,"177-1088B-1-1,52-54",3.96,0.54,83.97,University of Florida
0.57,"177-1088B-1-1,57-59",3.98,0.51,87.03,University of Florida
0.62,"177-1088B-1-1,62-64",3.91,0.33,85.68,University of Florida
0.67,"177-1088B-1-1,67-69",4.07,0.16,87.09,University of Florida
0.72,"177-1088B-1-1,72-74",3.94,0.72,86.07,University of Florida
0.77,"177-1088B-1-1,77-79",3.71,0.74,88.81,University of Florida
0.82,"177-1088B-1-1,82-84",3.69,0.57,86.76,University of Florida
0.87,"177-1088B-1-1,87-89",3.59,0.65,89.48,University of Florida
0.92,"177-1088B-1-1,92-94",3.71,0.42,90.44,University of Florida
0.97,"177-1088B-1-1,97-99",3.69,0.66,88.02,University of Florida
1.07,"177-1088B-1-1,107-109",3.39,0.6,88.01,University of Florida
1.12,"177-1088B-1-1,112-114",3.53,0.55,86.16,University of Florida
1.17,"177-1088B-1-1,117-119",3.15,0.49,86.08,University of Florida
1.22,"177-1088B-1-1,122-124",3.29,0.37,87.27,University of Florida
1.27,"177-1088B-1-1,127-129",3.58,0.67,84.4,University of Florida
1.32,"177-1088B-1-1,132-134",2.93,0.44,86.58,University of Florida
1.37,"177-1088B-1-1,137-139",3.69,0.11,87.38,University of Florida
1.5,"177-1088B-1-2,0-2",4.39,0,86.85,University of Florida
1.57,"177-1088B-1-2,7-9",4.45,0.05,85.79,University of Florida
1.67,"177-1088B-1-2,17-19",4.36,-0.08,85.01,University of Florida
1.72,"177-1088B-1-2,22-24",4.16,-0.1,84.98,University of Florida
1.77,"177-1088B-1-2,27-29",4.1,-0.06,85.28,University of Florida
