% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_000406,,,,,,
% Cast time (UTC),4/11/2024 0:04,,,,,,
% Cast time (local),4/11/2024 10:04,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8793527,,,,,,
% Start longitude,147.3436376,,,,,,
% Start altitude,4.140999794,,,,,,
% Start GPS horizontal error(Meter),8.621999741,,,,,,
% Start GPS vertical error(Meter),19.57500076,,,,,,
% Start GPS number of satellites,7,,,,,,
% End latitude,-42.8758378,,,,,,
% End longitude,147.341507,,,,,,
% End altitude,6.234000206,,,,,,
% End GPS horizontal error(Meter),13.41899967,,,,,,
% End GPS vertical error(Meter),20.54999924,,,,,,
% End GPS number of satellites,7,,,,,,
% Cast duration (Seconds),447,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149604773,16.64031099,40142.53242,48201.52812,31.16282041,1507.344675,1022.655688
0.45,0.448807561,16.74760768,40331.63514,48304.12733,31.24265577,1507.769244,1022.693717
0.75,0.747928057,16.86982691,41280.7398,49296.5255,31.96603203,1508.974569,1023.221503
1.05,1.046946882,16.93130879,41611.03981,49618.10281,32.20217394,1509.436277,1023.389623
1.35,1.345911347,16.97788158,41977.52022,49999.56958,32.48118914,1509.901428,1023.594027
1.65,1.644849964,17.05900317,42039.19724,49976.45459,32.46890249,1510.137367,1023.566984
1.95,1.94374148,17.13794483,42669.08667,50630.24175,32.94804292,1510.927769,1023.917081
2.25,2.242553312,17.17447909,43011.62046,50992.47386,33.21354726,1511.345904,1024.113331
2.55,2.541318418,17.22204528,43260.31803,51229.53868,33.38881209,1511.693758,1024.237765
2.85,2.840055376,17.25166094,43401.74063,51360.98755,33.48619643,1511.898655,1024.306721
3.15,3.13877384,17.28517531,43532.26339,51474.61619,33.57085372,1512.100556,1024.364979
3.45,3.437462875,17.31159492,43783.18043,51738.98611,33.76515684,1512.406341,1024.508964
3.75,3.73612126,17.34655073,43928.6455,51868.03262,33.86127694,1512.625355,1024.575631
4.05,4.034761456,17.36041611,44033.78421,51975.15541,33.94021471,1512.761783,1024.634153
4.35,4.333389832,17.35977554,44065.80893,52013.74225,33.96826142,1512.796876,1024.65713
4.65,4.632011859,17.32883168,44054.34655,52038.22643,33.98425981,1512.727897,1024.678117
4.95,4.930625844,17.26593241,44020.77095,52075.94917,34.00806508,1512.572377,1024.712707
5.25,5.229229848,17.21442115,44001.92419,52117.17109,34.03505996,1512.454279,1024.747004
5.55,5.527828102,17.20319637,43993.4796,52121.02801,34.03710546,1512.42803,1024.752567
5.85,5.826420178,17.1970953,44039.55173,52183.15552,34.08203513,1512.466128,1024.789799
6.15,6.125000685,17.2061784,44113.91123,52260.01607,34.13864033,1512.562987,1024.832372
6.45,6.423574414,17.22405546,44142.46631,52271.70369,34.14812742,1512.632252,1024.836711
6.75,6.722136734,17.25495598,44293.99491,52412.7808,34.25300724,1512.849401,1024.911094
7.05,7.02067485,17.27962266,44464.11719,52583.38935,34.37918847,1513.072179,1025.003288
7.35,7.319192044,17.32289749,44598.62735,52688.53268,34.45860479,1513.296854,1025.055148
7.65,7.617699777,17.35022788,44653.95447,52719.85147,34.48303509,1513.411095,1025.068647
7.95,7.916200727,17.37461942,44735.51274,52785.73985,34.53261648,1513.545252,1025.102129
8.25,8.214690467,17.39811189,44831.65068,52869.86694,34.59552177,1513.691884,1025.146036
8.55,8.513170103,17.41420863,44890.63333,52919.33385,34.63260606,1513.787014,1025.171917
8.85,8.811643141,17.41719109,44922.74642,52953.46682,34.65768723,1513.829488,1025.191751
9.15,9.110111215,17.42534557,44954.06245,52980.19597,34.67764657,1513.881463,1025.20641
9.45,9.408576278,17.43569066,44975.91453,52993.02761,34.68754645,1513.928446,1025.212828
9.75,9.707038993,17.44114558,44996.69158,53010.69395,34.70070511,1513.964634,1025.222922
10.05,10.00549977,17.45106345,45013.75746,53018.40967,34.70682914,1514.006023,1025.226546
10.35,10.30395773,17.46192479,45050.93024,53048.61998,34.72950386,1514.069092,1025.24263
10.65,10.60241007,17.46801538,45092.05109,53089.42587,34.75967344,1514.126563,1025.265611
10.95,10.90085844,17.47626,45108.4049,53098.37178,34.76660302,1514.163887,1025.270252
11.25,11.19930472,17.48342726,45131.52803,53116.62799,34.78029909,1514.205736,1025.280341
11.55,11.49774769,17.48548741,45152.21255,53138.39536,34.7962735,1514.235053,1025.293411
11.85,11.79618697,17.48838401,45173.46299,53159.78007,34.81201724,1514.266583,1025.306101
12.15,12.09462378,17.49536795,45188.17763,53168.35671,34.81860367,1514.299765,1025.310782
12.45,12.39305847,17.50056623,45208.87275,53186.20051,34.83188543,1514.335297,1025.321027
12.75,12.69149136,17.50147909,45212.0638,53188.81222,34.83374102,1514.345101,1025.323549
13.05,12.9899231,17.50333646,45221.44785,53197.52709,34.84013001,1514.362874,1025.329318
13.35,13.28835391,17.50346057,45221.2433,53197.13112,34.83973267,1514.367773,1025.330304
13.65,13.58678394,17.50566352,45229.57859,53204.17898,34.84491879,1514.385196,1025.335067
13.95,13.8852124,17.50649134,45238.61701,53213.77463,34.85189429,1514.40059,1025.341535
14.25,14.18363888,17.50863579,45251.03224,53225.69332,34.86065163,1514.421914,1025.34905
14.55,14.48206404,17.50970541,45253.50248,53227.25957,34.86174939,1514.431317,1025.350952
14.85,14.78048785,17.51048022,45264.49151,53239.21451,34.87045371,1514.448526,1025.358758
15.15,15.07890981,17.51285605,45273.81006,53247.19893,34.87633799,1514.467256,1025.364014
15.45,15.37733005,17.51733798,45288.61314,53258.9942,34.88514228,1514.495548,1025.370998
15.75,15.67574803,17.52666992,45312.98753,53275.96496,34.89802867,1514.542842,1025.379936
16.05,15.97416185,17.54240129,45362.94906,53314.98421,34.92747371,1514.62794,1025.400015
16.35,16.2725688,17.55623995,45421.52259,53366.46594,34.96596241,1514.717734,1025.427482
16.65,16.57097042,17.57429054,45458.78304,53387.59902,34.98241692,1514.794813,1025.437032
16.95,16.86936958,17.5815407,45478.5866,53401.76265,34.99312534,1514.833421,1025.444799
17.25,17.16776726,17.58503219,45485.6837,53405.71717,34.99611818,1514.852128,1025.447564
17.55,17.46616423,17.58809768,45491.89315,53409.16316,34.99871281,1514.869123,1025.450127
17.85,17.76455951,17.58992632,45506.78097,53424.34808,35.00985674,1514.892215,1025.459545
18.15,18.06295341,17.59310433,45509.9525,53424.08498,35.00973398,1514.906441,1025.459997
18.45,18.36134684,17.59319921,45513.06372,53427.61821,35.01222017,1514.914542,1025.463199
18.75,18.6597392,17.59550517,45521.09693,53434.15549,35.01704119,1514.931831,1025.467654
18.99530987,18.90373471,17.60246861,45520.4752,53424.69191,35.01040171,1514.948886,1025.461949
