% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_005028,,,,,,
% Cast time (UTC),4/11/2024 0:50,,,,,,
% Cast time (local),4/11/2024 10:50,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8475819,,,,,,
% Start longitude,147.3371375,,,,,,
% Start altitude,-1.074000001,,,,,,
% Start GPS horizontal error(Meter),7.678999901,,,,,,
% Start GPS vertical error(Meter),12.76200008,,,,,,
% Start GPS number of satellites,13,,,,,,
% End latitude,-42.8473889,,,,,,
% End longitude,147.3373103,,,,,,
% End altitude,10.25,,,,,,
% End GPS horizontal error(Meter),19.45899963,,,,,,
% End GPS vertical error(Meter),30.69099998,,,,,,
% End GPS number of satellites,12,,,,,,
% Cast duration (Seconds),209.2,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149616791,16.64540278,40026.94328,48056.85694,31.05891116,1507.241186,1022.574853
0.45,0.448852785,16.69126192,40059.94341,48043.57263,31.05180022,1507.378417,1022.560277
0.75,0.748064167,16.75148864,40408.61004,48391.81949,31.30598628,1507.858592,1022.742711
1.05,1.04723296,16.79201439,40622.29601,48600.54798,31.45870339,1508.16205,1022.851821
1.35,1.346366408,16.85269799,40897.70727,48859.10495,31.64865678,1508.569223,1022.984801
1.65,1.645468311,16.94844092,41142.6915,49039.59551,31.78430582,1509.020149,1023.067971
1.95,1.944491588,17.04878711,41958.04151,49892.09487,32.40703783,1510.040792,1023.523277
2.25,2.243382803,17.23315086,42875.56993,50760.56257,33.04809423,1511.332877,1023.972631
2.55,2.542195711,17.38922108,43211.2481,50969.61797,33.20887103,1511.98818,1024.060129
2.85,2.840922057,17.46551669,44079.33922,51900.15648,33.89183876,1512.999396,1024.566602
3.15,3.13956932,17.47865993,44150.057,51967.33734,33.9415611,1513.100139,1024.602876
3.45,3.438209747,17.47996596,44166.64738,51985.26691,33.95462731,1513.123904,1024.613899
3.75,3.736847519,17.48050033,44176.99002,51996.78637,33.96296544,1513.139985,1024.621483
4.05,4.035483522,17.47915102,44180.81274,52002.93753,33.96727365,1513.145875,1024.626431
