% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_023204,,,,,,
% Cast time (UTC),4/11/2024 2:32,,,,,,
% Cast time (local),4/11/2024 12:32,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8690974,,,,,,
% Start longitude,147.3417457,,,,,,
% Start altitude,-0.995999992,,,,,,
% Start GPS horizontal error(Meter),5.764999866,,,,,,
% Start GPS vertical error(Meter),7.947999954,,,,,,
% Start GPS number of satellites,11,,,,,,
% End latitude,-42.8697002,,,,,,
% End longitude,147.3413705,,,,,,
% End altitude,-3.332999945,,,,,,
% End GPS horizontal error(Meter),21.18600082,,,,,,
% End GPS vertical error(Meter),26.51000023,,,,,,
% End GPS number of satellites,11,,,,,,
% Cast duration (Seconds),340.4,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149721433,16.64113204,38937.97741,46754.22534,30.12275402,1506.155568,1021.858171
0.45,0.449150563,16.64815016,39089.34086,46928.06369,30.24769449,1506.3252,1021.953676
0.75,0.748522011,16.66734956,39562.06708,47473.70243,30.64041378,1506.838908,1022.251677
1.05,1.047822364,16.71675573,39905.38497,47828.96498,30.89851361,1507.290796,1022.439609
1.35,1.347083571,16.81145449,40141.94805,48003.52982,31.02927739,1507.73476,1022.519514
1.65,1.646312722,16.86716398,40420.99562,48272.90862,31.22632796,1508.134965,1022.659076
1.95,1.945499795,16.89212115,40675.32972,48547.7085,31.42580464,1508.444064,1022.807542
2.25,2.244563519,16.93630218,41781.60426,49815.55608,32.34508419,1509.634836,1023.503342
2.55,2.543451378,16.99368741,42620.57835,50746.41092,33.02400402,1510.590131,1024.011863
2.85,2.842251274,17.01368156,42787.0962,50920.43188,33.15162394,1510.801435,1024.10637
3.15,3.141030751,17.00905287,42848.2279,50998.8026,33.20826769,1510.857277,1024.152222
3.45,3.439788462,17.00401387,42995.92662,51180.73567,33.34029493,1510.998159,1024.255989
3.75,3.738513377,17.00143773,43173.39731,51395.14222,33.49620289,1511.17382,1024.377503
4.05,4.037204501,17.00093814,43337.10341,51590.63741,33.63855262,1511.34024,1024.488137
4.35,4.335869336,17.01011967,43452.61568,51716.84349,33.7310253,1511.478713,1024.558235
4.65,4.634509953,17.03468701,43628.04914,51895.2944,33.86258859,1511.708179,1024.654687
4.95,4.933125478,17.06951006,43786.67544,52040.86687,33.9708401,1511.941665,1024.73082
5.25,5.231726057,17.14984437,43931.93613,52113.99566,34.02892797,1512.254004,1024.757655
5.55,5.530293667,17.28372153,44410.00021,52514.29936,34.32943167,1513.00263,1024.957538
5.85,5.828801286,17.3475348,44814.24488,52912.46006,34.62466936,1513.534971,1025.169977
6.15,6.127272781,17.4097013,44950.91257,52996.02589,34.68947324,1513.798693,1025.206038
6.45,6.42574052,17.44150483,44977.27064,52987.36558,34.68487357,1513.892804,1025.196167
6.75,6.724210535,17.44646966,44974.01529,52977.33316,34.67769421,1513.90432,1025.190785
7.05,7.022680982,17.44573568,44975.40189,52979.88262,34.67940677,1513.909081,1025.193597
7.35,7.321150219,17.44579691,44982.51196,52988.18168,34.68538139,1513.921067,1025.199484
7.65,7.619617646,17.44713857,44992.95008,52998.80226,34.69313319,1513.938879,1025.206425
7.95,7.918081553,17.44650496,45016.84912,53027.74535,34.7142052,1513.966037,1025.224055
8.25,8.216540787,17.44834407,45039.92132,53052.62468,34.73244362,1513.997294,1025.238916
8.55,8.514996626,17.45633479,45062.27886,53068.96967,34.7447845,1514.040058,1025.247771
8.85,8.813450907,17.46723937,45078.60301,53074.56251,34.74941011,1514.082645,1025.250005
9.15,9.111903392,17.47988451,45109.79206,53095.47399,34.76537272,1514.143317,1025.260509
9.45,9.410351773,17.49635896,45157.64479,53131.19275,34.79242187,1514.227964,1025.278585
9.75,9.708796723,17.51351931,45188.03392,53145.48719,34.80379461,1514.296727,1025.284473
10.05,10.0072409,17.53185068,45210.8315,53149.3819,34.80760373,1514.360299,1025.284275
10.42293422,10.3782426,17.53545035,45201.49104,53133.90439,34.79631515,1514.364265,1025.27639
