% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_024935,,,,,,
% Cast time (UTC),4/11/2024 2:49,,,,,,
% Cast time (local),4/11/2024 12:49,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8544321,,,,,,
% Start longitude,147.3433411,,,,,,
% Start altitude,4.184999943,,,,,,
% Start GPS horizontal error(Meter),6.854000092,,,,,,
% Start GPS vertical error(Meter),10.34200001,,,,,,
% Start GPS number of satellites,9,,,,,,
% End latitude,-42.8540852,,,,,,
% End longitude,147.3434049,,,,,,
% End altitude,-2.585000038,,,,,,
% End GPS horizontal error(Meter),30.6590004,,,,,,
% End GPS vertical error(Meter),28.71299934,,,,,,
% End GPS number of satellites,10,,,,,,
% Cast duration (Seconds),257.4,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.14956676,17.02889347,41026.59523,48807.6081,31.62159363,1509.053005,1022.91796
0.45,0.44867865,17.01236401,41215.70252,49051.87258,31.79713757,1509.20858,1023.057656
0.75,0.747780276,16.93639684,41016.81043,48903.59392,31.68566252,1508.855863,1022.991167
1.05,1.046852571,17.07177898,41592.50439,49430.40845,32.07409676,1509.71472,1023.258735
1.35,1.345863469,17.13482733,41903.44031,49725.42071,32.29120222,1510.157926,1023.411702
1.65,1.644873405,17.09671926,41631.19357,49447.07605,32.08732575,1509.815084,1023.265704
1.95,1.94390567,17.06400468,41577.69538,49421.94127,32.06721512,1509.698314,1023.259257
2.25,2.2429253,17.08611714,41745.57265,49595.41945,32.19397523,1509.91491,1023.35257
2.55,2.54190731,17.17616448,42109.16215,49920.56848,32.43456704,1510.466044,1023.517176
2.85,2.840830645,17.19310819,42489.47801,50351.20643,32.74802423,1510.879963,1023.754745
3.15,3.139692912,17.21503716,42790.59643,50681.69935,32.98937944,1511.226441,1023.935884
3.45,3.438515456,17.23701515,42955.94813,50851.06982,33.1137302,1511.439345,1024.027326
3.75,3.737295024,17.28878066,43330.31153,51231.45058,33.39355868,1511.918844,1024.230863
4.05,4.036014758,17.35096131,43724.32327,51621.40588,33.68135852,1512.438099,1024.437983
