% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_030641,,,,,,
% Cast time (UTC),4/11/2024 3:06,,,,,,
% Cast time (local),4/11/2024 13:06,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.8463771,,,,,,
% Start longitude,147.3366652,,,,,,
% Start altitude,0.237000003,,,,,,
% Start GPS horizontal error(Meter),5.706999779,,,,,,
% Start GPS vertical error(Meter),7.09499979,,,,,,
% Start GPS number of satellites,11,,,,,,
% End latitude,-42.846474,,,,,,
% End longitude,147.3367416,,,,,,
% End altitude,13.1619997,,,,,,
% End GPS horizontal error(Meter),18.40699959,,,,,,
% End GPS vertical error(Meter),24.91200066,,,,,,
% End GPS number of satellites,9,,,,,,
% Cast duration (Seconds),204.8,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149722849,16.86792286,39203.66062,46818.25362,30.18068893,1506.916591,1021.851037
0.45,0.449124904,16.78348594,39550.27546,47327.63983,30.54185606,1507.076645,1022.148362
0.75,0.748451133,16.79715307,39900.2996,47730.88197,30.83243632,1507.455899,1022.369262
1.05,1.047730917,16.83411107,40090.94539,47916.57379,30.967998,1507.728763,1022.466022
1.35,1.346971943,16.86424683,40382.01008,48229.71048,31.1951323,1508.085419,1022.634508
1.65,1.646151761,17.01173796,40945.13575,48730.59023,31.56449176,1508.960683,1022.884828
1.95,1.945197072,17.19054061,42189.09774,49998.29005,32.49196707,1510.564869,1023.555132
2.25,2.244077868,17.25696717,42965.67561,50838.56993,33.10619531,1511.470597,1024.011527
2.55,2.542811386,17.35195492,43927.31369,51859.84185,33.85605075,1512.615568,1024.565042
2.85,2.84141768,17.4978148,44604.69406,52478.80893,34.31688989,1513.580098,1024.884625
3.15,3.13997195,17.55946811,44743.45637,52565.80775,34.3839939,1513.844261,1024.922502
3.45,3.438509606,17.58080047,44886.59016,52707.5462,34.48893142,1514.031997,1024.999094
3.75,3.737031866,17.58953298,44941.32456,52760.99715,34.52848724,1514.107895,1025.028619
4.05,4.03554751,17.59338841,44969.38361,52789.15965,34.5492358,1514.14793,1025.044909
4.35,4.33405435,17.59764227,45040.86527,52867.79135,34.60701001,1514.231348,1025.08948
4.65,4.632550804,17.6048352,45089.91865,52916.43359,34.64297439,1514.298582,1025.116623
4.95,4.931041776,17.61047514,45112.25347,52935.63767,34.65726606,1514.336517,1025.127529
5.25,5.22952907,17.61583743,45140.03597,52961.57331,34.67648006,1514.379239,1025.142276
5.55,5.528011075,17.61831799,45174.85872,52999.34494,34.70421349,1514.423161,1025.164251
5.85,5.82648564,17.61930489,45219.0798,53049.99685,34.74131473,1514.473352,1025.193769
6.15,6.124953152,17.6223475,45250.64547,53083.23933,34.76576527,1514.515189,1025.213091
6.45,6.423415558,17.62588372,45278.07521,53111.01056,34.78623192,1514.55394,1025.229239
6.75,6.721874287,17.62865456,45294.39626,53126.70167,34.79779151,1514.580278,1025.238746
7.05,7.020330936,17.63045204,45302.81419,53134.33476,34.80338239,1514.59694,1025.243915
7.35,7.318785093,17.63557518,45326.65087,53155.90405,34.81939164,1514.635288,1025.25626
7.65,7.617236612,17.6369986,45336.0679,53165.17272,34.8261621,1514.652189,1025.262423
7.95,7.915685438,17.64168552,45359.90362,53187.27798,34.84254153,1514.689668,1025.275158
8.25,8.214130248,17.64959,45391.9455,53214.98459,34.86321818,1514.74153,1025.290403
8.55,8.512571996,17.65719526,45409.85064,53226.48425,34.87198141,1514.778924,1025.296589
8.85,8.811010772,17.65994753,45433.92049,53251.26157,34.89021558,1514.812803,1025.311214
9.15,9.109446628,17.65903408,45439.63583,53259.10069,34.89580503,1514.821467,1025.31704
9.45,9.407881128,17.66131073,45446.7687,53264.61836,34.89987264,1514.837798,1025.320923
9.75,9.706314484,17.66028607,45450.11004,53269.81395,34.90351496,1514.843914,1025.325284
10.05,10.00474543,17.66029276,45467.39201,53290.06093,34.91826795,1514.865733,1025.337909
10.35,10.303174,17.66385961,45476.53878,53296.32527,34.92295816,1514.886576,1025.341955
10.65,10.60159919,17.66611523,45507.40456,53329.67897,34.94746633,1514.926139,1025.36151
10.95,10.90001773,17.6661818,45545.90374,53374.71249,34.98043022,1514.968889,1025.388079
11.25,11.19842967,17.66668443,45573.83319,53406.81353,35.00392396,1515.002131,1025.407283
11.55,11.49683761,17.66604992,45584.1623,53419.71238,35.01324859,1515.015875,1025.415904
11.85,11.795244,17.6667349,45587.00847,53422.19012,35.01499398,1515.024868,1025.418394
12.15,12.09364994,17.66940088,45590.17583,53422.56382,35.01530757,1515.038064,1025.419304
12.45,12.39205517,17.67140016,45597.67388,53428.84662,35.01992368,1515.054199,1025.423674
12.75,12.69045863,17.66920215,45605.24227,53440.46757,35.02822032,1515.062166,1025.431888
13.16837829,13.10660751,17.67627483,45622.16085,53451.43295,35.0365233,1515.099413,1025.438367
