% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_042845,,,,,,
% Cast time (UTC),4/11/2024 4:28,,,,,,
% Cast time (local),4/11/2024 14:28,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.876478,,,,,,
% Start longitude,147.3413647,,,,,,
% Start altitude,2.151000023,,,,,,
% Start GPS horizontal error(Meter),5.070000172,,,,,,
% Start GPS vertical error(Meter),7.125999928,,,,,,
% Start GPS number of satellites,12,,,,,,
% End latitude,-42.8756676,,,,,,
% End longitude,147.3394425,,,,,,
% End altitude,7.329999924,,,,,,
% End GPS horizontal error(Meter),17.76499939,,,,,,
% End GPS vertical error(Meter),28.3010006,,,,,,
% End GPS number of satellites,12,,,,,,
% Cast duration (Seconds),387.2,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149689784,16.73435892,39379.83122,47179.14956,30.43265496,1506.796375,1022.074536
0.45,0.449065944,16.73343127,39405.5482,47211.00927,30.45538142,1506.824523,1022.093496
0.75,0.74841877,16.75663355,39647.58844,47474.59873,30.64592286,1507.118609,1022.235573
1.05,1.047719106,16.86404134,40107.52041,47902.11256,30.95920816,1507.809936,1022.452417
1.35,1.346917014,17.02287762,41038.85278,48829.17961,31.63642802,1509.071658,1022.936039
1.65,1.645995947,17.06261001,41588.63237,49436.58081,32.07784525,1509.70127,1023.266402
1.95,1.945053875,17.00793977,41234.6933,49079.64246,31.81644151,1509.242146,1023.08012
2.25,2.244146529,16.96458419,41100.62052,48970.6038,31.73511447,1509.022796,1023.029182
2.55,2.543156457,17.09012478,42194.42915,50123.90599,32.57731253,1510.370074,1023.646777
2.85,2.842033617,17.14934522,42710.87325,50666.11715,32.97444631,1511.007152,1023.938613
3.15,3.140860064,17.14051942,42782.14805,50761.29654,33.04305595,1511.064019,1023.994615
3.45,3.439672835,17.14750604,42846.99814,50829.81434,33.09318833,1511.147289,1024.032726
3.75,3.738469305,17.15858668,42971.45629,50964.06175,33.19140531,1511.2978,1024.106734
4.05,4.037245552,17.15638603,43064.91907,51077.57464,33.27380856,1511.390354,1024.171755
4.35,4.336007144,17.1657897,43129.50939,51142.77439,33.32171893,1511.478317,1024.20759
4.65,4.634745832,17.19495373,43349.65349,51368.2913,33.48760143,1511.760333,1024.329193
4.95,4.933456721,17.21943077,43484.94484,51498.73417,33.58400519,1511.948796,1024.398626
5.25,5.232144459,17.23591699,43640.41735,51662.68482,33.70444319,1512.140732,1024.488374
5.55,5.530803039,17.26819892,43848.52118,51869.39863,33.85709152,1512.416626,1024.599054
5.85,5.829425204,17.30441869,44105.68336,52128.93207,34.04868799,1512.748602,1024.738638
6.15,6.128021538,17.32905037,44194.2574,52203.22334,34.10431389,1512.890565,1024.776722
6.45,6.426603513,17.3685972,44337.31882,52323.32642,34.19432589,1513.116128,1024.837586
6.75,6.725158758,17.39721042,44559.80253,52550.39434,34.36203652,1513.397705,1024.960623
7.05,7.023692894,17.40592987,44603.3521,52590.93745,34.39211277,1513.462942,1024.982909
7.35,7.322208504,17.40581841,44760.41504,52776.266,34.52772914,1513.622422,1025.088237
7.65,7.620690085,17.50645106,45089.50522,53038.42605,34.72564547,1514.151747,1025.217026
8.06827941,8.036818942,17.51638762,45155.76165,53103.94907,34.77412579,1514.243425,1025.253631
