% Device,CC2225003,,,,,,
% File name,CC2225003_20240411_045725,,,,,,
% Cast time (UTC),4/11/2024 4:57,,,,,,
% Cast time (local),4/11/2024 14:57,,,,,,
% Sample type,Cast,,,,,,
% Cast data,Processed,,,,,,
% Location source,GPS,,,,,,
% Default latitude,32,,,,,,
% Default altitude,0,,,,,,
% Start latitude,-42.854229,,,,,,
% Start longitude,147.3441104,,,,,,
% Start altitude,3.559999943,,,,,,
% Start GPS horizontal error(Meter),6.907999992,,,,,,
% Start GPS vertical error(Meter),7.456999779,,,,,,
% Start GPS number of satellites,14,,,,,,
% End latitude,-42.8538358,,,,,,
% End longitude,147.3440505,,,,,,
% End altitude,-5.708000183,,,,,,
% End GPS horizontal error(Meter),27.7159996,,,,,,
% End GPS vertical error(Meter),32.24499893,,,,,,
% End GPS number of satellites,9,,,,,,
% Cast duration (Seconds),182.2,,,,,,
% Samples per second,5,,,,,,
% Electronics calibration date,0001-01-01,,,,,,
% Conductivity calibration date,6/30/2022,,,,,,
% Temperature calibration date,6/29/2022,,,,,,
% Pressure calibration date,6/17/2022,,,,,,
% ,,,,,,,
Pressure (Decibar),Depth (Meter),Temperature (Celsius),Conductivity (MicroSiemens per Centimeter),Specific conductance (MicroSiemens per Centimeter),Salinity (Practical Salinity Scale),Sound velocity (Meters per Second),Density (Kilograms per Cubic Meter)
0.15,0.149543534,17.04295751,41285.26437,49098.906,31.83293616,1509.337086,1023.076649
0.45,0.448642792,17.01426118,41109.76066,48923.57916,31.7044951,1509.108429,1022.986217
0.75,0.747770063,16.99691888,40936.35064,48737.32612,31.56886742,1508.905848,1022.887632
1.05,1.046927126,16.99976066,40779.01261,48546.72023,31.43128606,1508.762186,1022.782873
1.35,1.34611959,17.02647379,40602.65224,48306.04209,31.25895387,1508.651213,1022.64597
1.65,1.645326109,17.06033298,40706.01264,48390.0266,31.32125073,1508.829936,1022.687178
1.95,1.944519155,17.06303812,40785.53879,48481.44667,31.38726585,1508.918512,1022.738456
2.25,2.243642619,17.07389825,41443.15086,49250.42911,31.94350443,1509.591811,1023.163469
2.55,2.542667163,17.12035007,41883.16361,49718.44197,32.28491269,1510.127034,1023.415581
2.85,2.841614715,17.21961985,42427.17715,50245.8067,32.67293904,1510.873836,1023.690951
3.15,3.14048825,17.33489986,42927.73763,50700.17618,33.00950825,1511.608424,1023.922925
3.45,3.439285718,17.40271111,43454.99124,51240.81704,33.40689723,1512.26926,1024.212632
3.75,3.738019802,17.45376766,43741.26109,51516.34766,33.61059223,1512.658641,1024.357848
4.05,4.03672282,17.47576164,43872.24082,51643.8542,33.70477539,1512.836442,1024.426075
4.35,4.335407916,17.47042633,43946.88644,51738.22145,33.77326963,1512.903676,1024.481167
4.65,4.634074535,17.48784758,44077.62336,51870.8594,33.87102119,1513.071901,1024.55322
4.95,4.932718362,17.50675102,44229.60573,52026.56599,33.98576639,1513.263857,1024.637935
5.25,5.2313403,17.50296397,44322.59828,52140.59697,34.06881549,1513.352307,1024.703816
5.55,5.529943363,17.48750848,44397.06545,52247.19811,34.14579594,1513.399223,1024.767859
5.85,5.828521071,17.51381222,44597.90287,52451.07477,34.29637316,1513.653967,1024.878257
6.15,6.12706944,17.5335698,44761.21566,52618.69139,34.42012678,1513.858629,1024.969665
6.45,6.425599389,17.54791351,44832.48906,52684.70925,34.46919563,1513.96204,1025.005131
6.75,6.724119354,17.5591597,44896.5832,52746.08747,34.51469934,1514.052194,1025.03861
7.05,7.022628466,17.5756855,44979.92822,52823.49267,34.57226282,1514.171694,1025.080052
7.35,7.321126871,17.58959876,45046.19389,52884.03179,34.61732675,1514.269188,1025.112543
7.65,7.619615417,17.59716268,45108.5828,52947.87254,34.66445915,1514.350258,1025.148155
7.95,7.918091461,17.60975277,45200.63268,53040.24284,34.73281827,1514.47036,1025.198816
8.25,8.216558091,17.6189114,45233.05461,53066.88172,34.75277228,1514.525131,1025.213207
8.55,8.51501962,17.62453711,45270.755,53104.10161,34.78029007,1514.578089,1025.234252
8.85,8.81347433,17.63027526,45316.42195,53150.5153,34.81456518,1514.639077,1025.260449
9.15,9.111923965,17.63215015,45330.83857,53165.08599,34.82525259,1514.661776,1025.269505
9.45,9.410371527,17.63315022,45338.79527,53173.17045,34.83112975,1514.67641,1025.275086
9.75,9.708814916,17.63566757,45375.95044,53213.60381,34.86083857,1514.722686,1025.298565
10.05,10.00725328,17.64075861,45398.40796,53233.58382,34.87568363,1514.759608,1025.310025
10.35,10.30568889,17.64465009,45413.67719,53246.62895,34.88536969,1514.787109,1025.317822
10.65,10.60412158,17.64587697,45432.72667,53267.43158,34.90059888,1514.81307,1025.330515
10.95,10.90255109,17.64719778,45447.10354,53282.63744,34.91172513,1514.834632,1025.340042
11.25,11.20097751,17.64837148,45465.2561,53302.45273,34.92622808,1514.859608,1025.352192
11.55,11.49940132,17.64886769,45473.32906,53311.29702,34.93263692,1514.873361,1025.358303
11.85,11.79782156,17.64875534,45499.87829,53342.5629,34.95547615,1514.904048,1025.377155
12.15,12.09623241,17.64739415,45565.97433,53421.75676,35.0134488,1514.971103,1025.423242
12.45,12.39463528,17.64835082,45579.22196,53436.08965,35.02391833,1514.990842,1025.432353
12.75,12.69303302,17.65037129,45620.33941,53481.76115,35.057473,1515.040031,1025.4589
13.05,12.99142417,17.64845113,45644.81071,53512.85861,35.08009628,1515.065148,1025.478029
13.35,13.28981206,17.64701884,45646.49395,53516.62928,35.08266979,1515.068846,1025.48167
13.65,13.58819903,17.64561362,45647.47906,53519.54771,35.08461863,1515.071913,1025.484825
14.0802237,14.01610844,17.64570578,45648.52108,53520.65377,35.0852727,1515.080079,1025.487196
